CopyBarcode,CallNumber,Title,MaterialType,PublicationYear,Status,DateLastAccountedFor,DateAcquired,TotalCirculations,CirculationsThisYear,CirculationsLastYear,CirculationsThisMonth
T 61629,VIDEO FIC LOR,Lord of the flies,Video,1999,Lost,8/5/2013,4/6/2009,2,0,0,0
T 62891,VIDEO FIC MAL,The Maltese falcon,Video,2010,Available,2/7/2023,4/2/2012,0,0,0,0
T 62897,VIDEO FIC MY,My fair lady,Video,2009,Available,2/7/2023,4/2/2012,0,0,0,0
T 33029,VIDEO FIC OCT,October sky,Video,2000,Available,2/7/2023,4/8/2002,20,0,0,0
T 33806,VIDEO FIC OUT,The outsiders,Video,2005,Available,2/7/2023,4/12/2006,9,0,0,0
T 60916,VIDEO FIC PRI,Pride & prejudice,Video,2006,Available,2/7/2023,4/17/2008,1,0,0,0
T 60918,VIDEO FIC RAI,A raisin in the sun,Video,1999,Available,2/7/2023,4/17/2008,3,0,0,0
T 40668,VIDEO FIC REA,"Rear window DVD - James Stewart, Grace Kelly",Video,2005,Available,2/7/2023,6/10/2010,0,0,0,0
T 33812,VIDEO FIC ROM,Romeo + Juliet DVD - Leonardo Dicaprio & Claire Danes,Video,2002,Available,2/7/2023,4/12/2006,5,0,1,0
T 33813,VIDEO FIC ROM,Romeo and Juliet,Video,2000,Available,2/7/2023,4/12/2006,5,0,1,0
T 60919,VIDEO FIC RUM,Rumble fish,Video,2005,Available,2/7/2023,4/17/2008,2,0,0,0
T 61630,VIDEO FIC SCA,The scarlet letter a romance,Video,2003,Available,2/7/2023,4/6/2009,2,0,0,0
T 30848,VIDEO FIC SCH,Schindler's list,Video,2004,Available,2/7/2023,9/14/2004,24,0,0,0
T 63396,VIDEO FIC TAL,A tale of two cities,Video,2007,Available,2/7/2023,4/4/2014,8,1,1,0
T 62907,VIDEO FIC THE,Their eyes were watching God,Video,2005,Available,2/7/2023,4/2/2012,0,0,0,0
T 60920,VIDEO FIC THI,Thirteen days,Video,2001,Available,2/7/2023,4/17/2008,1,0,0,0
T 62915,VIDEO FIC WHO,Who framed Roger Rabbit,Video,2003,Available,2/7/2023,4/10/2012,0,0,0,0
